A,AAP,AAPL
55.01,122.15,524.75
55.28,122.34,567.77
54.39,120.63,571.94
53.73,121.44,594.09
53.3,119.83,592.33
54.04,121.29,590.09
54.47,120.98,591.48
54.54,121.69,592.58
55.33,121.03,600.96
55.01,120.49,594.41
55.03,119.45,592.33
55.3,122.46,587.99
55.39,124.56,585.5425
56.41,125.25,592.83
56.83,123.41,593.76
55.85,123.14,593.87
54.49,124.23,588.82
55.03,121.67,597.51
54.97,122.8,604.59
54.31,122.11,604.71
54.99,122.58,606.31
55.54,122.5,607.27
56.18,123.24,614.13
56.28,121.44,625.63
57.11,121.11,624.01
56.96,122.31,635.38
56.94,124.17,633
56.89,124.47,628.65
57.22,125.23,637.54
57.45,126.46,644.82
58.6,127.43,647.35
59.01,128.41,645.57
59.28,127.71,93.7
58.89,126.97,94.25
58.91,126.14,93.86
58.4,124.28,92.29
58.5,124.8,91.28
58.32,125.01,92.2
58.87,125.95,92.08
59.27,129.72,92.18
58.62,128.84,91.86
58.77,129.8,90.91
58.11,130.67,90.83
57.65,131.66,90.28
57.97,129.85,90.36
57.82,130.53,90.9
57.5,133.48,91.98
57.44,134.92,92.93
58.25,134.53,93.52
58.05,134.25,93.48
58.46,134.94,94.03
58.12,134,95.968
57.15,132.27,95.35
56.9,133.58,95.39
56.49,133.16,95.035
56.6,133.29,95.22
56.82,134.81,96.45
56.66,132.64,95.32
56.96,131.82,94.78
55.15,129.86,93.0899
56.15,130.47,94.43
56.71,128.55,93.939
57.72,124.15,94.72
57.47,123.59,97.19
56.84,126.63,97.03
56.53,125.55,97.671
56.29,124.49,99.02
56.03,122.96,98.38
56.78,124.2,98.15
56.09,121.11,95.6
56.07,121.06,96.13
56.26,124.02,95.59
55.24,124.41,95.12
55.59,122.99,94.96
55.05,121.85,94.48
55.24,125.11,94.74
55.2,125.25,95.99
54.34,124.71,95.97
54.78,122.93,97.24
55.62,131.59,97.5
57.58,131.47,97.98
58.52,133.33,99.16
58.56,134.02,100.53
58.33,135.14,100.57
57.99,134.48,100.58
57.64,135.41,101.32
57.74,136.33,101.54
57.85,136.06,100.889
57.38,137.44,102.13
57.15,137.41,102.25
57.16,136.42,102.5
58.07,137.88,103.3
58.06,138.3,98.94
57.69,138.27,98.12
57.92,137.76,98.97
57.65,136.8,98.36
57.45,135.88,97.99
57.69,135.9,101
57.59,134.42,101.43
58.6,133.86,101.66
57.92,133.99,101.63
57.91,135.42,100.86
58.89,134.37,101.58
58.4,133.62,101.79
58.25,131.76,100.96
57.55,130.9,101.06
56.98,129.12,102.64
57.96,130.62,101.75
56.89,128.2,97.87
56.5,130.1,100.75
57.15,130.64,100.11
56.98,130.3,100.75
56.2,130.52,99.18
55.83,132.97,99.9
56.91,135.13,99.62
56.57,134.42,99.62
55,133.81,98.75
56.46,136.84,100.8
55.03,133.99,101.02
53.64,132.81,100.73
52.79,130.88,99.81
51.79,133.98,98.75
51.79,133.51,97.54
51.71,132.43,96.26
52.27,135.79,97.67
52.35,139.57,99.76
54,141.02,102.47
53.05,138.78,102.99
53.71,140.78,104.83
54.05,142.04,105.22
53.99,144.46,105.11
54.66,145.78,106.74
54.5,145.03,107.34
54.32,145.71,106.98
55.28,146.96,108
40.84,147.76,109.4
40.18,148.44,108.6
40.13,149.37,108.86
41.37,145.56,108.7
40.93,141.85,109.01
41.53,145.17,108.83
41.66,144.98,109.7
41.45,146.27,111.25
41.45,146,112.82
41.57,144.81,114.18
41.24,145.83,113.99
40.8,146.24,115.47
40.8,144.74,114.67
41.26,145.19,116.31
42.25,145.49,116.47
42.25,145.58,118.625
42.71,145.45,117.6
42.74,145.71,119
42.74,147.08,118.93
41.59,147.07,115.07
41.98,148.48,114.63
42.23,152.04,115.93
42.27,153.25,115.49
42.3,154.18,115
41.51,153.68,112.4
41.4,158.25,114.12
40.34,157.24,111.95
40.62,159.16,111.62
39.72,160.25,109.73
38.68,161.01,108.225
38.47,157.01,106.745
39.76,159.55,109.41
40.7,160.74,112.65
41.38,159.85,111.78
41.88,159.44,112.94
41.37,161.19,112.54
41.13,160.23,112.01
41.38,160,113.99
41.33,161.22,113.91
41.37,160.03,112.52
40.94,159.28,110.38
40.56,158.56,109.33
39.8,156.47,106.25
39.18,156.36,106.26
39.7,159.72,107.75
40.89,161.12,111.89
40.59,160.3,112.01
40.11,158.93,109.25
39.55,153.76,110.22
39.06,150.83,109.8
38.01,148.02,106.82
38.25,150,105.99
37.93,152.66,108.72
38.16,153.35,109.55
39.65,156.54,112.4
38.81,155.78,112.98
39.15,159.23,113.1
38.75,159.03,109.14
38,159.3,115.31
38.46,160.26,118.9
37.77,159,117.16
38.69,155.97,118.63
39.62,157.07,118.65
39.11,156.47,119.56
39.53,160.16,119.94
39.34,162,118.93
39.04,160.74,119.72
39.67,162.9,122.02
39.33,162.39,124.88
40.02,151.42,126.46
40.15,150.16,127.08
40.52,150.23,127.83
41.54,153.22,128.715
41.15,153.27,128.45
41.95,155.06,129.495
41.73,157.18,133
42.06,156.4,132.17
42.2,156.25,128.79
42.36,155.38,130.415
42.21,154.93,128.46
42.7,154.77,129.09
42.26,154.47,129.36
42,150.83,128.54
42.22,152.52,126.41
41.53,149.07,126.6
41.74,148.29,127.14
40.63,146.53,124.51
40.85,147.33,122.24
41.1,149.32,124.45
40.87,149.61,123.59
41.81,151.12,124.95
41.58,150,127.04
42.12,149.03,128.47
42.21,149.19,127.495
42.21,151.91,125.9
42.2,149.51,127.21
41.09,151.01,126.69
40.81,148.73,123.38
40.7,149.41,124.24
41.11,151.39,123.25
41.72,152.08,126.37
41.55,149.69,124.43
41.39,143.75,124.25
42.05,143.98,125.32
41.93,145.73,127.35
42.44,146.71,126.01
42.26,148.81,125.6
42.49,148.05,126.56
43.55,150.2,127.1
43.04,149.18,126.85
43.07,149.05,126.3
43.38,149.58,126.78
43.13,150,126.17
42.98,149.8,124.75
43.19,152.4,127.6
42.89,152.4,126.91
42.71,151.51,128.62
42.62,146.69,129.67
42.49,148.61,130.28
41.98,144.99,132.65
42.18,144.5,130.56
41.96,144.66,128.64
41.37,143,125.15
41.83,145.34,128.95
41.94,145.45,128.7
41.59,143.99,125.8
41.59,144.09,125.01
41.8,144.53,125.26
42.5,144.76,127.62
42.62,145.51,126.32
41.91,147.13,125.865
41.81,149.38,126.01
42.05,149.86,128.95
42.04,151.62,128.77
42.63,151.88,130.19
42.37,152.94,130.07
42.61,149.9,130.06
42.32,157.5,131.39
42.5,160.2,132.54
42.06,158,129.62
42.61,157.22,132.045
41.75,156.35,131.78
41.19,153.22,130.28
40.92,153.32,130.535
41.11,155.36,129.96
41.1,156.53,130.12
40.54,156.6,129.36
40.31,157.39,128.65
39.95,157.31,127.8
40.12,157.42,127.42
40.52,160.27,128.88
40.53,160.53,128.59
39.84,161.21,127.17
39.52,158.32,126.92
39.79,159.05,127.6
39.6,158.99,127.3
39.9,160.25,127.88
39.49,160.5,126.6
39.81,163.26,127.61
39.6,163.89,127.03
40.19,163.42,128.11
40.05,164.2,127.5
40.02,164.28,126.75
38.74,158.93,124.53
38.58,159.29,125.425
39.26,162.65,126.6
39.58,162.11,126.44
39.36,163.42,126
39.79,163.53,125.69
38.75,159.99,122.57
38.92,162.07,120.07
39.4,164.11,123.28
39.96,169.31,125.66
40.49,167.21,125.61
40.13,168.47,126.82
40.34,169.36,128.51
39.95,169.7,129.62
40.06,168.69,132.07
39.57,167.53,130.75
40.33,168.22,125.22
40.25,168.39,125.16
39.31,168.31,124.5
39.61,168.34,122.77
40.45,170.3,123.38
40.4,173.06,122.99
40.97,172.54,122.37
40.95,174.21,121.3
41,173.81,118.44
40.62,175.1,114.64
40.72,175.27,115.4
40.12,172.74,115.13
39.99,173.75,115.52
40.47,173.66,119.72
39.42,171.92,113.49
38.89,172,115.24
38.56,187.79,115.15
38.65,187.03,115.96
38.82,184.69,117.16
39.02,185.77,116.5
38.4,187.84,115.01
37.51,184.45,112.65
36.23,177.54,105.76
34.68,173.75,103.12
34.36,171.22,103.74
35.62,171.46,109.69
36.64,176.23,112.92
36.51,176.48,113.29
36.31,175.25,112.76
34.75,172.62,107.72
35.53,175.25,112.34
35.75,173.24,110.37
35.06,172.13,109.27
36.21,175.32,112.31
35.54,174.92,110.15
35.86,174.88,112.57
35.96,174.84,114.21
35.55,175,115.31
36.15,176.85,116.28
36.52,178.59,116.41
36.4,178.28,113.92
35.74,173.7,113.45
35.69,174.75,115.21
35.05,174.44,113.4
34.95,175.87,114.32
34.55,174.8,115
34.45,176.84,114.71
33.37,171.4,112.44
33.74,170.53,109.06
34.33,189.53,110.3
33.74,192.04,109.58
34.67,191.69,110.38
35.34,191.17,110.78
34.9,191.1,111.31
35.54,190.35,110.78
36.01,187.35,109.5
36.23,189.52,112.12
35.99,191.28,111.6
35.63,190.85,111.79
35.05,187.07,110.21
35.58,190.55,111.86
35.78,190.8,111.04
36.23,191.4,111.73
36.32,193.59,113.77
35.9,192.15,113.76
36.09,191.87,115.5
37.11,191.94,119.08
36.83,192.45,115.28
37.05,193.27,114.55
37.52,194.28,119.27
37.7,197.48,120.53
37.76,198.43,119.5
38.59,200.38,121.18
38.27,198.7,122.57
38.34,199.34,122
38.3,200.34,120.92
38.14,198.72,121.06
37.92,194.9,120.57
37.98,194.11,116.77
37.66,194.67,116.11
37.49,164.64,115.72
36.77,161.62,112.34
37.33,164.22,114.175
38.38,164.09,113.69
39.34,164.44,117.29
38.5,162.37,118.78
39.28,162.82,119.3
40.03,162.62,117.75
40.67,163.19,118.88
41.34,164.3,118.03
41.97,164.84,117.81
41.82,162.73,118.3
41.06,162.34,117.34
40.42,157.93,116.28
40.15,154.78,115.2
41.1,155.83,119.03
40.7,151.22,118.28
41.17,149.88,118.23
40.98,153.21,115.62
41.25,151.76,116.17
40.19,148.85,113.18
40.25,147.61,112.48
40.81,156.17,110.49
41.43,160.82,111.34
40.78,153.07,108.98
40.1,149.57,106.03
40.83,149.65,107.33
41.22,147.83,107.23
41.77,149.06,108.61
42.14,149.13,108.03
41.78,150.55,106.82
42.36,152.2,108.74
42.17,151.4,107.32
41.81,150.51,105.26
40.69,152.24,105.35
40.55,151.2,102.71
40.73,147.2,100.7
39,148.83,96.45
38.59,145.56,96.96
37.94,147.05,98.53
38.19,148.07,99.96
36.86,142.16,97.39
37.61,141.32,99.52
37.11,144.29,97.13
37.2,144.62,96.66
37.26,143.39,96.79
37.23,143.8,96.3
37.98,144.43,101.42
37.61,144.72,99.44
37.51,151.47,99.99
37.05,151.52,93.42
36.11,148.56,94.09
37.65,152.05,97.34
37.69,154.89,96.43
37.07,151.86,94.48
37.19,147.94,96.35
37.42,147.85,96.6
36.04,143.94,94.02
34.8,141.45,95.01
35.37,141.5,94.99
35.85,138.57,94.27
35.33,138.41,93.7
36.22,140.77,93.99
37.08,146,96.64
37.87,143.41,98.12
37.19,143.32,96.26
37.44,143.63,96.04
38.03,147.87,96.88
37.17,147.55,94.69
37.48,150.42,96.1
37.63,150.08,96.76
37.59,150.05,96.91
37.35,148.44,96.69
38.59,153.35,100.53
39.04,152.17,100.75
39.2,153.88,101.5
39.34,152.37,103.01
39.43,151.52,101.87
38.09,149.68,101.03
38.13,153.77,101.12
37.98,156.15,101.17
39.23,158.57,102.26
39.02,159.34,102.52
38.29,158.58,104.58
38.98,158.96,105.97
39.29,157.94,105.8
40.19,157.47,105.92
39.65,158.61,105.91
39.88,158.19,106.72
39.47,161.09,106.13
39.43,161.82,105.67
39.52,161.76,105.19
40.16,163.03,107.68
40.12,163.79,109.56
39.85,160.34,108.99
40.31,160.42,109.99
40.01,159.23,111.12
39.26,160.47,109.81
40.24,159.88,110.96
39.47,155.83,108.54
39.54,156.11,108.66
39.41,154.77,109.02
39.75,156.5,110.44
40.69,160.49,112.04
40.78,160.94,112.1
40.91,161.19,109.85
41.31,160.94,107.48
41.4,160.79,106.91
41.52,158.39,107.13
41.93,157.13,105.97
41.8,158.4,105.68
41.63,157.39,105.08
41.32,158.28,104.35
41.58,159.27,97.82
41.18,155.87,94.83
40.92,156.1,93.74
41.71,155.46,93.64
41.24,156.01,95.18
40.52,155.84,94.19
40.96,148.74,93.24
41.43,150.52,92.72
41.33,151.53,92.79
42,152.29,93.42
42.46,148.13,92.51
42.73,150,90.34
42.62,145.56,90.52
42.94,148.14,93.88
44.41,144.08,93.49
44.32,143.81,94.56
44.56,143.54,94.2
44.89,146.39,95.22
44.57,145.87,96.43
45.03,149.34,97.9
45.42,153.53,99.62
45.51,156.66,100.41
45.82,156.31,100.35
45.89,153.84,99.86
45.95,153.34,98.46
45.9,152.15,97.72
45.72,150.71,97.92
45.86,150.24,98.63
45.75,151.71,99.03
46.15,153.52,98.94
46.09,156.78,99.65
45.36,153.02,98.83
44.92,152.55,97.34
44.91,152.63,97.46
44.94,153.64,97.14
45.37,153.94,97.55
45.36,154.55,95.33
46.14,155.58,95.1
46.16,154.44,95.91
46.03,153.16,95.55
46.68,154.93,96.1
44.12,154.52,93.4
42.26,153.78,92.04
43.11,156.98,93.59
43.76,161.01,94.4
44.36,161.63,95.6
44.6,164.33,95.89
43.75,161.19,94.99
44.47,161.45,95.53
44.42,161.13,95.94
45.48,164.85,96.68
45.4,163.69,96.98
46.53,163.55,97.42
46.41,162.91,96.87
46.8,164.96,98.79
46.67,164.59,98.78
46.8,164.4,99.83
46.98,163.7,99.87
47.01,163.75,99.96
46.67,164.09,99.43
46.58,166.03,98.66
46.14,166.67,97.34
46.95,166.23,96.67
47.26,164.73,102.95
47.51,170.34,104.34
48.11,169.86,104.21
47.87,168.5,106.05
47.18,166.61,104.48
47.09,168.65,105.79
46.83,170.18,105.87
47.49,170.49,107.48
47.23,168.88,108.37
47.45,166.5,108.81
47.51,166.65,108
48.13,166.71,107.93
48.14,166,108.18
48.44,167.76,109.48
48.28,160.4,109.38
48.43,158.05,109.22
46.72,157.43,109.08
47.62,158.04,109.36
47.58,158.47,108.51
47.82,157.94,108.85
46.7,160.36,108.03
47.26,160.18,107.57
47.32,156.83,106.94
47.62,157.67,106.82
47.14,156.66,106
46.98,157.38,106.1
46.99,158.76,106.73
47,158.57,107.73
46.95,160.14,107.7
47.11,161.88,108.36
47.02,158.87,105.52
44.88,152.96,103.13
45.75,153.37,105.44
44.9,151.18,107.95
44.86,150.72,111.77
45.44,148.94,115.57
44.79,148.11,114.92
44.95,148.44,113.58
45.71,145.89,113.57
46.04,146.33,113.55
46.67,149.15,114.62
46.61,149.24,112.71
46.57,150.1,112.88
46.7,151.01,113.09
47.18,149,113.95
46.41,146.74,112.18
47.09,149.12,113.05
47.14,146.94,112.52
46.83,146.54,113
47.15,148.93,113.05
47.3,148.71,113.89
47.38,148.13,114.06
47.69,148.06,116.05
45.69,146.76,116.3
45.47,147.96,117.34
45.16,146.78,116.98
45.08,146.64,117.63
45.15,143.27,117.55
45.44,142.99,117.47
46.02,142.23,117.12
46.05,141.3,117.06
45.57,141.93,116.6
45.85,141.1,117.65
43.51,143.81,118.25
43.37,143.96,115.59
43.38,139.22,114.48
43.22,140.2,113.72
43.57,140.08,113.54
43.49,139.79,111.49
43.26,138.14,111.59
43.66,138.85,109.83
44.32,136.19,108.84
45.71,137.54,110.41
45.62,137.67,111.06
45.94,140.33,110.88
47.03,145.82,107.79
46.37,145.02,108.43
45.33,142.9,105.71
45.4,164.33,107.11
46.18,162.98,109.99
45.94,166.32,109.95
45.04,162.57,110.06
44.97,166.9,111.73
44.46,170.29,111.8
44.65,171.04,111.23
44.89,170.86,111.79
43.6,170.77,111.57
44.48,169.8,111.46
43.98,169.72,110.52
43.21,170.76,109.49
44.03,170.14,109.9
44.53,170.53,109.11
44.84,173.31,109.95
44.99,176.78,111.03
45.8,176.52,112.12
46.3,175.58,113.95
46.14,173,113.3
46.39,171.87,115.19
46.14,171.51,115.19
46.56,172.92,115.82
45.91,171.91,115.97
45.43,173.82,116.64
46.21,175.63,116.95
46.04,173.51,117.06
45.97,170.39,116.29
46.2,170.89,116.52
46.51,171.84,117.26
45.72,170.42,116.76
45.64,170.28,116.73
45.56,169.12,115.82
46.49,170.6,116.15
47.1,172,116.02
46.54,171.88,116.61
47.99,169.63,117.91
48.14,169.53,118.99
48.1,169.92,119.11
49.25,173.43,119.75
48.52,174.47,119.25
48.69,174.79,119.04
48.32,173,120
48.25,173.98,119.99
47.64,171.72,119.78
47.62,171.5,120
47.39,167.78,120.08
47.35,168.29,119.97
48.41,167.5,121.88
48.17,165.5,121.94
48.65,164.37,121.95
47.67,164.63,121.63
48.97,164.24,121.35
49.26,160.59,128.75
48.9,162.34,128.53
49.38,162.75,129.08
49.27,160.27,130.29
49.64,159.18,131.53
49.93,162.73,132.04
50.47,164.83,132.42
50.36,164.05,132.12
50.52,162.39,133.29
50.39,164.37,135.02
51.62,163.88,135.51
50.84,160.99,135.345
51.63,161.58,135.72
51.35,161.15,136.7
51.34,159.68,137.11
51.47,157.72,136.53
51.74,157.33,136.66
51.66,156.94,136.93
51.3,156.61,136.99
52.04,156.68,139.79
51.38,157.36,138.96
51.98,155.35,139.78
51.25,154.25,139.34
51.21,151.99,139.52
51.41,155.21,139
51.43,155.15,138.68
52.15,153.97,139.14
52.45,154.35,139.2
52.21,153.71,138.99
54.1,152.92,140.46
53.05,153.41,140.69
53.31,152.4,139.99
53.15,152.44,141.46
52.66,151.22,139.84
53.13,151.27,141.42
53.18,150.78,140.92
53.08,149.73,140.64
53.24,147.8,140.88
53.44,148.36,143.8
53.12,149.67,144.12
53.32,148.67,143.93
52.87,148.26,143.66
53.2,145.5,143.7
52.62,143.04,144.77
52.71,142.74,144.02
53.15,142.56,143.66
52.84,142.05,143.34
52.72,142.84,143.17
52.83,143.46,141.63
52.55,141.74,141.8
52.33,140.89,141.05
53.46,140.84,141.83
53.03,140.91,141.2
53.07,142.42,140.68
53.13,146.56,142.44
53.27,146.84,142.27
54.44,147.1,143.64
54.81,145.67,144.53
54.83,145.78,143.68
55.43,143.19,143.79
55.05,142.14,143.65
55.8,140.53,146.58
55.93,142.55,147.51
56.16,142.82,147.06
56.7,144.81,146.53
56.64,144.98,148.96
56.32,146.97,153.01
56.87,146.12,153.99
56.27,146.16,153.26
56.23,145.95,153.95
56.16,145.02,156.1
56.7,145.85,155.7
56.83,145.25,155.47
55.77,144.56,150.25
55.85,148.51,152.54
56.13,151.47,153.06
56.08,147.37,153.99
58.66,140.66,153.8
59.23,133.02,153.34
59.3,131.97,153.87
59.51,134.16,153.61
60.37,132.99,153.67
60.34,133.63,152.76
60.73,137.1,153.18
60.81,137.8,155.45
60.4,135.57,153.93
60.1,131.3,154.45
60.63,130.62,155.37
60.15,125.92,154.99
59.21,128.36,148.98
58.99,130.95,145.42
59.28,131.63,146.59
59.38,130.59,145.16
59.21,131.15,144.29
59.51,130.16,142.27
60.55,129.6,146.34
60.33,123.58,145.01
59.79,120.11,145.87
60.61,120.7,145.63
59.77,119.74,146.28
59.24,121.79,145.82
58.88,121.96,143.73
59.4,116.71,145.83
58.8,116.05,143.68
59.31,116.59,144.02
59.13,118.41,143.5
59.77,105.21,144.09
59.22,103.16,142.73
59.63,101.93,144.18
59.86,101.17,145.06
59.8,100.25,145.53
60.73,100.94,145.74
61.19,103.22,147.77
61.52,102.04,149.04
61.55,101.74,149.56
61.21,100.3,150.08
61.38,100.87,151.02
60.98,103.23,150.34
61.37,105.27,150.27
61.5,103.17,152.09
60.54,105.29,152.74
59.72,106.7,153.46
59.91,110.34,150.56
60.08,110.21,149.5
59.79,112.01,148.73
59.94,114.05,150.05
60.2,114.48,157.14
60.37,110.53,155.57
60.13,111.01,156.39
60.87,109.49,158.81
60.14,109.39,160.08
59.68,109.18,161.06
58.57,106.13,155.32
59.33,107.34,157.48
59.62,109.32,159.85
59.38,87.08,161.6
62.14,91.51,160.95
60.86,92.85,157.86
61.25,93.26,157.5
61.74,95.19,157.21
62.96,95.8,159.78
62.77,93.54,159.98
62.68,93.1,159.27
62.9,95.8,159.86
63.46,94.66,161.47
63.49,95.12,162.91
63.9,96.81,163.35
64.72,97.9,164
64.38,98.06,164.05
64.29,96.73,162.08
64.71,95.61,161.91
65.14,93.53,161.26
65.02,94.03,158.63
66.11,94.4,161.5
66.14,97.26,160.86
65.44,100.1,159.65
65.68,100.02,158.28
65.96,99.51,159.88
66.08,98.58,158.67
66.17,94.85,158.73
66.09,94.75,156.07
65.92,93.68,153.39
65.78,95.59,151.89
64.73,97.94,150.55
64.11,97.59,153.14
64.39,99.33,154.23
63.98,99.5,153.28
64.2,99.2,154.12
64.87,99.36,153.81
65.15,98.98,154.48
65.83,94.93,153.48
65.7,94.33,155.39
66.36,94.29,155.3
66.56,91.12,155.84
66.6,91.84,155.9
66.62,89.4,156.55
67.54,86.56,156
66.99,85.51,156.99
66.91,86.01,159.88
66.12,88.09,160.47
66.44,87.81,159.76
66.88,86.92,155.98
67.25,86.78,156.25
67.02,85.91,156.17
67.32,84.25,157.1
67.39,83.31,156.41
67.71,85.65,157.41
67.97,81.93,163.05
67.49,82,166.72
68.03,81.74,169.04
68.02,80.75,166.89
68.13,81.69,168.11
68.37,81.8,172.5
68.22,80.71,174.25
68.25,79.38,174.81
68.11,79.41,176.24
67.47,80.45,175.88
66.81,81.22,174.67
67.13,82.28,173.97
67.46,95.72,171.34
67.31,91.58,169.08
68.74,90.5,171.1
68.79,89.27,170.15
69.96,91.43,169.98
69.91,88.93,173.14
68.69,89.62,174.96
69.36,89.23,174.97
69.31,89.87,174.09
70.59,92.84,173.07
68.69,99.95,169.48
69.24,101,171.85
68.69,99.28,171.05
66.24,104.02,169.8
65.83,101.15,169.64
65.89,97.5,169.01
66.71,97.61,169.32
67.38,100.31,169.37
67,100.85,172.67
67.06,103.03,171.7
66.68,102.5,172.27
66.51,100.2,172.22
67.61,100.7,173.97
67.66,102.71,176.42
67.75,99.73,174.54
67.4,98.59,174.35
67.52,100.13,175.01
67.35,100.55,175.01
67.25,101.96,170.57
67.3,99.77,170.6
67.45,99.71,171.08
66.97,99.69,169.23
67.6,106.09,172.26
69.32,107.05,172.23
68.8,111,173.03
69.9,112.18,175
70.05,111.39,174.35
71.77,110.49,174.33
70.79,110.59,174.29
70.8,112.95,175.28
71.73,115.94,177.09
71.23,113.9,176.19
72.06,115.35,179.1
72.19,115.53,179.26
73.07,117.02,178.46
73.48,118.03,177
73.44,119.1,177.04
73.58,120.99,174.22
73.86,120.92,171.11
74.82,123.64,171.51
74.53,122.89,167.96
72.99,119.27,166.97
73.43,116.99,167.43
72.83,117.29,167.78
71.25,113.93,160.5
68.22,109.86,156.49
68.45,112.2,163.03
68.06,109.93,159.54
65.05,109.63,155.15
66.98,109.14,156.41
68.43,109.48,162.71
68.34,106.22,164.34
69.7,109.02,167.37
72.02,108.78,172.99
71.97,107.57,172.43
71.08,105.35,171.85
71.25,114,171.07
70.68,110.49,172.5
70.7,116.32,175.5
70.58,114.85,178.97
69,109.8,178.39
68.59,114.25,178.12
67.38,117.51,175
67.51,116.07,176.21
67.55,116.36,176.82
68.11,118.59,176.67
69.7,116.77,175.03
69.85,115.75,176.94
71.13,118.86,179.98
70.71,118.41,181.72
70.68,119,179.97
69.92,117.06,178.44
70.18,117.1,178.65
69.9,116.63,178.02
69.34,115.87,175.3
69.85,114.25,175.24
69.4,115.24,171.27
67.47,111.71,168.85
66.06,110.84,164.94
68.2,114.77,172.77
67,115.01,168.34
66.4,115.98,166.48
66.9,118.55,167.78
64.43,111.93,166.68
65.42,111.91,168.39
65.45,114.48,171.61
65.68,116.39,172.8
63.65,111.91,168.38
65.19,110.35,170.05
66.64,112.14,173.25
66.08,110.93,172.44
67.2,110.57,174.14
67.21,106.61,174.73
68.17,106.45,175.82
68.44,108.2,178.24
69.55,107.39,177.84
67.97,105.18,172.8
67.55,103.76,165.72
68.07,105.52,165.24
66.64,106.93,162.94
65.8,107.82,163.65
66.37,113.18,164.22
66.28,116.34,162.32
65.74,114.45,165.26
66.24,115.58,169.1
65.91,115.9,176.57
66.34,115.43,176.89
67,116.67,183.83
67.39,116.14,185.16
67.37,116.8,186.05
68.13,117.99,187.36
68.86,118.23,190.04
69.45,119.94,188.59
69.21,121.61,188.15
62.5,119.92,186.44
61.94,119.03,188.18
63.59,119.79,186.99
64.32,118.32,186.31
65.55,119.15,187.63
64.84,115.33,187.16
64.53,123.25,188.36
64.12,125.17,188.15
63.15,124.91,188.58
61.85,123.96,187.9
62.69,128.53,187.5
61.92,128.62,186.87
62.78,128.34,190.24
63.38,129.91,191.83
63.52,129.95,193.31
65.19,130.59,193.98
65.23,130.05,193.46
65.73,131.71,191.7
66.13,132.73,191.23
66.32,133.64,192.28
66.26,132.68,190.7
66.31,133.5,190.8
66.13,137.16,188.84
64.97,138.24,188.74
63.52,138.3,185.69
62.79,139.16,186.5
63.04,139.5,185.46
62.79,138.85,184.92
61.2,137.27,182.17
61.98,137.07,184.43
61.14,134.38,184.16
61.29,135.11,185.5
61.84,135.7,185.11
61.47,134.7,187.18
61.25,135.01,183.92
61.8,135.86,185.4
62.29,137.17,187.97
63.12,140.95,190.58
63.67,140.65,190.35
62.86,139.08,187.88
63.45,138.79,191.03
63.38,139.34,191.33
62.72,139.67,190.91
63.04,140.28,191.45
62.99,139.97,190.4
64.15,143.37,191.88
63.85,142.67,191.44
63.72,144.66,191.61
64.79,139.99,193
65.96,140.47,194.82
66.75,141.78,194.21
65.75,139.85,190.98
64.63,140.68,189.91
66.04,141.23,190.29
64.98,139.75,201.5
65.29,143.26,207.39
65.73,144.68,207.99
66.51,145.1,209.07
67.66,145.16,207.11
67.38,146.41,207.25
66.69,147.79,208.88
66.26,146.35,207.53
65.94,144.84,208.87
66.75,156.13,209.75
64.73,158.03,210.24
65.5,159.49,213.32
64.66,159.72,217.58
64.47,160.84,215.46
64.93,160.15,215.04
65.65,160.73,215.05
65.69,163.26,215.49
65.98,164.36,216.16
66.08,161.98,217.94
66.69,162.1,219.7
67.01,163.56,222.98
67.26,161.8,225.03
67.54,164.03,227.63
67.27,169.48,228.36
66.96,167,226.87
67.36,167.22,223.1
67.4,167.28,221.3
67.93,166.93,218.33
67.62,167.24,223.85
67.91,167.1,221.07
69.33,166.73,226.41
68.85,165.45,223.84
69.08,163.5,217.88
68.93,167.65,218.24
69.56,169.6,218.37
71.13,169.55,220.03
70.72,168.44,217.66
69.95,167.65,220.79
70.38,167.32,222.19
70.33,169.33,220.42
70.8,169.79,224.95
70.54,168.33,225.74
71.26,169.6,227.26
71.68,168.4,229.28
72.12,167.6,232.07
70.66,165.71,227.99
70.3,165.83,224.29
69.5,168.36,223.77
69.41,168.89,226.87
66.67,163.17,216.36
64.89,161.04,214.45
66.24,165.12,222.11
65.63,166.93,217.36
67.46,168.37,222.15
67.2,159.58,221.19
65.75,162.19,216.02
64.47,164.33,219.31
64.28,164.77,220.65
62.73,163.97,222.73
61.13,159.18,215.09
62.61,163.17,219.8
62.73,164.55,216.3
62.08,164.87,212.24
63.64,164.97,213.3
64.79,159.76,218.86
65.22,163.51,222.22
65.93,165,207.48
65.91,165.11,201.59
65.98,168.09,203.77
68.26,170.51,209.95
67.79,172.45,208.49
67.27,171.18,204.47
64.5,167.06,194.17
64.34,184.72,192.23
63.47,177.68,186.8
64.72,179.05,191.41
64.99,179.21,193.53
62.61,177.75,185.86
67.52,171.53,176.98
67.72,174.67,176.78
68.21,177.24,172.29
69.25,177.72,174.62
69.36,179.27,174.24
71.48,178.95,180.94
71.57,177.67,179.55
72.35,177.71,178.58
74.67,177.89,184.82
72.91,178.19,176.69
72.41,176.975,175.704999999999
71.91,175.76,174.72
70.25,167.59,168.49
70.59,166.17,169.6
71.05,165.8,168.63
71.75,166.98,169.1
71.14,166.29,170.95
69.36,163.78,165.48
67.85,158.84,163.94
67.99,158.24,166.07
